file_name,WS,Ag,A80,Rp0.2,Rm,s,u,SB,SW,SR,MR,KEA,GSA,BFA,Grat
DC03_05mm_u15_SB040_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.4,55,0.05,0.02,22.79,52.21,25.0,5.15
DC03_05mm_u15_SB040_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.4,65,0.02,0.02,21.48,40.0,38.52,5.19
DC03_05mm_u15_SB040_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.4,65,0.035,0.02,22.22,54.07,23.7,8.15
DC03_05mm_u15_SB040_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.4,65,0.05,0.02,22.79,58.82,18.38,4.41
DC03_05mm_u15_SB040_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.4,75,0.02,0.02,21.32,41.91,36.76,3.68
DC03_05mm_u15_SB040_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.4,75,0.035,0.02,21.48,44.44,34.07,3.7
DC03_05mm_u15_SB040_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.4,75,0.05,0.02,22.22,48.15,29.63,5.19
DC03_05mm_u15_SB050_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.5,45,0.02,0.02,21.48,42.96,35.56,6.67
DC03_05mm_u15_SB050_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.5,45,0.035,0.02,22.22,53.33,24.44,3.7
DC03_05mm_u15_SB050_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.5,45,0.05,0.02,22.22,45.19,32.59,0.74
DC03_05mm_u15_SB050_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.5,55,0.02,0.02,21.48,46.67,31.85,2.22
